Models,Ability
LinearRegression,0.495273658
BayesianRidge,0.4830767837499999
SVR,0.4666504839999998
SVR.1,0.5071589612500002
SVR.2,0.517911246
SVR.3,0.5073097375000001
SVR.4,0.5261119575
SVR.5,0.5021849555
SVR.6,0.5284356147499999
SVR.7,0.4920304387499999
SVR.8,0.5140993470000002
SVR.9,0.5041514037499998
SVR.10,0.5249729807500001
SVR.11,0.5016518119999999
SVR.12,0.49271816474999997
SVR.13,0.5153383065000001
SVR.14,0.47240377775
SVR.15,0.3131279475
SVR.16,0.2734473915
SVR.17,0.28273110600000007
SVR.18,0.25242618249999993
SVR.19,0.26376079825
KNeighborsRegressor,0.50761065225
KNeighborsRegressor.1,0.49611167500000014
KNeighborsRegressor.2,0.49016183074999986
KNeighborsRegressor.3,0.48642251324999997
KNeighborsRegressor.4,0.4971973844999999
KNeighborsRegressor.5,0.49914404274999996
KNeighborsRegressor.6,0.487410459
KNeighborsRegressor.7,0.5141491492499999
KNeighborsRegressor.8,0.4845433745
KNeighborsRegressor.9,0.5162822650000001
KNeighborsRegressor.10,0.48337925350000005
KNeighborsRegressor.11,0.50927364875
KNeighborsRegressor.12,0.51106455925
KNeighborsRegressor.13,0.4977703227500001
DecisionTreeRegressor,0.50123282775
DecisionTreeRegressor.1,0.511516013
DecisionTreeRegressor.2,0.48422697574999995
DecisionTreeRegressor.3,0.5267979174999999
DecisionTreeRegressor.4,0.4932361752500002
DecisionTreeRegressor.5,0.53073786225
DecisionTreeRegressor.6,0.49475468399999994
DecisionTreeRegressor.7,0.5031973759999999
DecisionTreeRegressor.8,0.5037352477500001
DecisionTreeRegressor.9,0.51568967025
DecisionTreeRegressor.10,0.50186455675
DecisionTreeRegressor.11,0.46575560474999983
DecisionTreeRegressor.12,0.46249134775000006
DecisionTreeRegressor.13,0.48889947849999993
RandomForestRegressor,0.51718631225
RandomForestRegressor.1,0.49977216774999994
RandomForestRegressor.2,0.4986180910000001
RandomForestRegressor.3,0.5176033017500001
RandomForestRegressor.4,0.5375898927500002
RandomForestRegressor.5,0.5136520735000001
RandomForestRegressor.6,0.4955655527499999
RandomForestRegressor.7,0.5135892197499998
RandomForestRegressor.8,0.5196424497500001
RandomForestRegressor.9,0.49714314000000004
RandomForestRegressor.10,0.5029342010000002
RandomForestRegressor.11,0.5099624614999998
RandomForestRegressor.12,0.50377195875
RandomForestRegressor.13,0.52038745
RandomForestRegressor.14,0.47848858424999996
RandomForestRegressor.15,0.49155443325000014
RandomForestRegressor.16,0.4968280612499999
RandomForestRegressor.17,0.49232587
RandomForestRegressor.18,0.4858362905
RandomForestRegressor.19,0.49401945825000004
AdaBoostRegressor,0.4921449287499999
AdaBoostRegressor.1,0.5050645199999999
AdaBoostRegressor.2,0.45097379574999985
AdaBoostRegressor.3,0.48740944174999984
AdaBoostRegressor.4,0.52114864
AdaBoostRegressor.5,0.47143246024999996
AdaBoostRegressor.6,0.504609633
AdaBoostRegressor.7,0.47853294450000006
AdaBoostRegressor.8,0.47253584175000024
AdaBoostRegressor.9,0.52626563025
AdaBoostRegressor.10,0.48790364775000006
AdaBoostRegressor.11,0.5029760427500001
MLPRegressor,0.5026815665
MLPRegressor.1,0.5456522975
MLPRegressor.2,0.5330660210000001
MLPRegressor.3,0.5272508227499999
MLPRegressor.4,0.4703431417499999
MLPRegressor.5,0.4787009760000001
MLPRegressor.6,0.5036140672499999
MLPRegressor.7,0.493419208
MLPRegressor.8,0.4920125210000001
MLPRegressor.9,0.5062282252499999
MLPRegressor.10,0.49968226824999984
MLPRegressor.11,0.47916068275
MLPRegressor.12,0.48146799399999984
MLPRegressor.13,0.477043953
MLPRegressor.14,0.5102234312499998
MLPRegressor.15,0.5159421352500002
Average,0.5425723192499999
Optimal,0.64429315025
Worst,0.26802867174999995
