difficulty,discrimination
0.6269256,0.42220333
0.4473143,0.68096644
0.5772609,0.48325446
0.56030107,0.17113544
0.42579266,0.49187583
0.4437184,0.42441446
0.65503025,0.6975821
0.3812756,0.4644569
0.47294334,0.40660924
0.50194025,0.2831927
0.4769584,0.40310657
0.47567886,0.5983917
0.5162606,0.20687129
0.66438454,0.60962737
0.5422086,0.24927975
0.40423736,0.448066
0.4194632,0.5882981
0.5961295,0.4476252
0.5376551,0.43141493
0.34997636,0.694293
0.3120387,0.38489935
0.5188614,0.180878
0.41169226,0.42075983
0.41298157,0.47009358
0.53265506,0.4246784
0.45175424,0.5935681
0.5161305,0.41259745
0.4321705,0.3008526
0.48382714,0.39052555
0.3803662,0.6654737
0.45068112,0.41050708
0.7085155,0.23314257
0.64865756,0.21552764
0.30827114,0.6088855
0.5388627,0.16236912
0.34378088,-0.08543887
0.29543483,0.6297525
0.3585551,0.41923627
0.63478,0.4532417
0.42800874,0.4545201
0.40193382,0.4224319
0.41306156,0.6008114
0.5951024,0.5024643
0.40310073,0.5131299
0.4644976,0.4441652
0.49792472,0.4233279
0.46318272,0.5531025
0.56857914,0.3635473
0.36529392,0.7239825
0.42637154,0.3327887
0.60075337,0.39584428
0.43813118,0.34560698
0.29507303,0.674414
0.52276427,0.34632874
0.6932582,0.20265205
0.46915632,0.40473315
0.33664396,0.47315493
0.31630465,0.681437
0.46793923,0.44868818
0.36458382,0.42250738
0.39536315,0.24606328
0.49388582,0.24114595
0.3868819,-0.23228936
0.474945,0.38128024
0.44814658,0.26780316
0.42197147,0.4989413
0.5102115,0.32772994
0.40255913,0.57473487
0.61885715,0.19935139
0.55447763,0.27124065
0.72737783,0.4827893
0.35018384,0.41974282
0.4704329,0.19670835
0.31060508,0.5920822
0.41375685,0.33486304
0.819131,0.9527095
0.4958036,0.57753897
0.44224182,0.41806176
0.49329448,0.06803167
