difficulty,discrimination
0.523845,0.8184158
0.39169592,0.903832
0.38632992,1.0800093
0.4757594,0.973637
0.41007194,0.90394235
0.40452942,0.8957288
0.35968542,0.99734384
0.38021278,0.9085121
0.5169964,0.8391146
0.3249821,0.74659073
0.41635162,0.7151777
0.43487912,1.100608
0.37858963,0.8783572
0.37769818,0.9507718
0.4547477,0.7557171
0.39527345,0.9526268
0.37196317,0.9647857
0.33744603,0.79653263
0.4412977,0.89248544
0.3259216,1.0120234
0.41430953,1.0070461
0.31530774,1.546297
0.35841656,0.80922717
0.46053168,0.8803947
0.36940998,0.7640779
0.36324662,1.0417172
0.5725239,0.7182115
0.40940037,0.86583686
0.38902113,0.91091144
0.2983845,1.2856408
0.51096904,0.12336782
0.41557682,0.5366919
0.34599546,0.8030113
0.44212157,0.9902426
0.40710136,0.8909131
0.4077951,0.69673795
0.51113987,0.6762634
0.42238694,0.96163476
0.3399071,0.97621125
0.3546942,1.0823159
