difficulty,discrimination
0.40127504,0.0244541
0.41879916,0.54009885
0.3946951,0.62267005
0.44768405,0.24236095
0.29661563,0.68186104
0.30492908,0.71845245
0.44312102,0.3052154
0.4251872,0.7206046
0.30370873,0.74551535
0.3468486,0.6585092
0.58561105,0.25391322
0.36947632,0.65131986
0.44748878,0.59361887
0.40589774,0.6540782
0.3152905,0.43374458
0.35884807,0.57397515
0.3933663,0.38435197
0.3109422,0.47345182
0.46993324,0.34861788
0.38007182,0.43723962
0.4135214,0.57340324
0.36781234,0.72180456
0.5048128,0.3387383
0.30566308,0.46192357
0.38667896,0.4786781
0.48756242,0.570382
0.45067373,0.49133098
0.39161474,0.71447015
0.4655937,0.37774366
0.43167725,0.35081485
0.30460882,0.60309166
0.43158597,0.59378886
0.488699,0.7964217
0.6077,0.34576836
0.32825527,0.6621155
0.4498809,0.3504497
0.49271777,0.5301972
0.3369565,0.79274815
0.35246944,0.7690915
0.41175458,0.68962145
0.5504296,0.49654073
0.3561324,0.7703537
0.42154127,0.6856614
0.3174683,0.71214324
0.36546534,0.45317858
0.43559483,0.6885013
0.26927292,0.7783774
0.37722588,0.52587825
0.44699538,0.48681948
0.3857055,0.5221748
0.30641526,0.5527256
0.49870235,0.35640195
0.56388354,0.11918579
0.29593262,0.74145156
0.40217876,0.48079932
0.45506537,0.24563614
0.37177107,0.64008653
0.34747368,0.41495723
0.35942447,0.72575873
0.56591433,0.3181388
