Economy (GDP per Capita),Health (Life Expectancy),Freedom,Generosity,Happiness Score
1.39651,0.94143,0.66557,0.29678,7587.00
1.30232,0.94784,0.62877,0.4363,7561.00
1.32548,0.87464,0.64938,0.34139,7527.00
1.46,0.88521,0.66973,0.34699,7522.00
1.32629,0.90563,0.63297,0.45811,7427.00
1.29025,0.88911,0.64169,0.23351,7406.00
1.32944,0.89284,0.61576,0.4761,7378.00
1.33171,0.91087,0.6598,0.36262,7364.00
1.25018,0.90837,0.63938,0.47501,7286.00
1.33358,0.93156,0.65124,0.43562,7284.00
1.22857,0.91387,0.41319,0.33172,7278.00
0.95578,0.86027,0.63376,0.25497,7226.00
1.33723,0.89042,0.62433,0.33088,7200.00
1.02054,0.81444,0.48181,0.14074,7187.00
1.39451,0.86179,0.54604,0.40105,7119.00
0.98124,0.69702,0.49049,0.14574,6983.00
1.56391,0.91894,0.61583,0.28034,6946.00
1.33596,0.89533,0.61777,0.45901,6940.00
1.30782,0.89667,0.5845,0.2225,6937.00
1.42727,0.80925,0.64157,0.26428,6901.00
1.26637,0.90943,0.59625,0.51912,6867.00
1.36011,0.76276,0.63274,0.21542,6853.00
1.04424,0.72052,0.42908,0.05841,6810.00
1.52186,1.02525,0.54252,0.31105,6798.00
1.06353,0.79661,0.5421,0.24434,6786.00
1.32792,0.89186,0.61477,0.28214,6750.00
1.10715,0.85857,0.44132,0.33363,6670.00
1.69042,0.79733,0.6404,0.32573,6611.00
1.27778,0.94579,0.55011,0.12332,6575.00
1.05351,0.78723,0.44974,0.11451,6574.00
1.17898,0.84483,0.46364,0.10686,6505.00
1.06166,0.8116,0.60362,0.2324,6485.00
0.91861,0.69077,0.53466,0.18401,6477.00
0.9669,0.7385,0.55664,0.5763,6455.00
1.39541,0.72025,0.31048,0.13706,6411.00
1.23011,0.95562,0.45951,0.18227,6329.00
1.2074,0.88721,0.60365,0.51752,6302.00
1.29098,0.8753,0.3974,0.25376,6298.00
1.55422,0.72492,0.55499,0.16228,6295.00
0.99534,0.6082,0.59657,0.16991,6269.00
1.21183,0.61483,0.55884,0.31844,6168.00
0.76454,0.67737,0.4035,0.10692,6130.00
0.74553,0.64425,0.57733,0.27489,6123.00
0.63244,0.59772,0.65821,0.22837,6003.00
1.16891,0.78902,0.31751,0.16893,5995.00
1.27074,0.99111,0.49615,0.10705,5987.00
1.24461,0.96538,0.33208,0.18557,5984.00
0.86402,0.79075,0.48574,0.11541,5975.00
1.32376,0.74716,0.45492,0.17362,5960.00
1.25114,0.95446,0.26236,0.22823,5948.00
0.68133,0.5392,0.57414,0.20536,5890.00
0.59448,0.61826,0.32818,0.20951,5889.00
0.75985,0.66098,0.53899,0.3424,5878.00
1.12254,0.64368,0.51649,0.11827,5855.00
1.18498,0.87337,0.60855,0.25328,5848.00
1.14723,0.73128,0.21342,0.02641,5833.00
0.59325,0.74314,0.55475,0.27815,5828.00
0.90019,0.73017,0.41496,0.14982,5824.00
1.03192,0.73608,0.37938,0.11046,5813.00
1.12555,0.77903,0.53122,0.16759,5791.00
1.12486,0.72394,0.53024,0.33075,5770.00
1.08254,0.78805,0.25883,0.05444,5759.00
1.13145,0.7038,0.41668,0.18295,5754.00
1.13764,0.66926,0.36679,0.00199,5716.00
0.81038,0.68741,0.50442,0.2123,5709.00
1.20806,0.92356,0.49027,0.26169,5695.00
1.20813,0.92356,0.40672,0.30638,5689.00
0.93929,0.61766,0.28579,0.07822,5605.00
0.80148,0.63132,0.24749,0.2831,5589.00
0.95847,0.53886,0.4761,0.16979,5548.00
1.00761,0.7095,0.56066,0.37744,5477.00
1.38604,1.01328,0.59608,0.39478,5474.00
1.15174,0.77361,0.44888,0.0868,5429.00
