raw,residual
1760,0
1760,0
1760,0
1760,0
1740,-20
1720,-40
1680,-82
1680,-91
1760,-19
1840,55
1840,49
1860,63
1860,58
1880,72
1880,66
1840,21
1760,-63
1660,-167
1760,-72
1820,-17
1780,-60
1840,-3
1880,33
1940,90
1940,87
1900,45
1900,42
1920,60
1920,58
1920,56
1940,73
1940,71
1920,49
1960,87
1660,-215
1920,43
1940,62
1920,40
1860,-22
1760,-123
1800,-84
1860,-26
1940,53
1940,52
1900,11
1920,29
1920,28
1940,47
1920,26
1920,25
1940,44
1920,22
1960,60
2000,98
1940,36
1920,14
1940,32
1920,10
1800,-112
1780,-134
1780,-136
1860,-58
1920,0
1940,18
1940,17
1960,36
1960,34
1960,33
1960,32
1960,31
1960,30
1940,9
1940,8
1920,-13
1880,-54
1860,-75
1800,-136
1800,-137
1840,-98
1680,-258
1880,-59
1920,-20
1960,20
1960,19
1940,-2
1960,18
2000,57
2000,57
1980,37
1000,-944
1940,-4
1960,15
1960,14
1960,14
1960,14
1940,-7
1940,-7
1940,-8
1940,-8
1960,12
1960,11
1960,11
1960,10
1960,10
1960,9
1960,9
1960,8
1960,7
1960,7
1960,6
1960,6
1960,5
1960,5
1980,25
1960,4
1960,4
2000,43
2020,63
1980,22
1960,2
1980,21
1960,1
1920,-40
1740,-220
1800,-161
1860,-102
1900,-62
1960,-3
2000,37
2000,36
1980,15
1940,-25
1920,-46
1940,-26
1980,13
1620,-348
1980,12
1960,-9
1960,-9
1980,10
2000,30
2000,29
2000,28
2000,28
2000,27
2000,27
2000,26
1980,5
1980,5
1580,-395
2000,24
2000,24
2020,43
2040,63
2040,63
2000,22
1980,2
2000,21
2000,21
1960,-19
1900,-80
1820,-160
1900,-81
2000,19
2000,19
1940,-42
2000,18
2000,17
1980,-3
2000,17
2000,16
1540,-444
2020,35
2040,55
2040,55
2040,54
2040,54
1940,-47
1820,-167
2020,33
2040,52
2040,52
2040,51
2040,51
2000,11
2000,10
2000,10
2000,10
2000,9
2000,9
2000,8
2000,8
2000,8
2000,7
2000,7
2000,6
2000,6
1720,-274
1960,-35
2000,5
2000,4
1960,-36
1960,-36
2000,3
2000,3
1960,-37
1880,-117
1640,-357
2000,2
2040,42
2000,2
2060,62
2000,2
2000,1
2000,1
2000,1
1960,-39
2020,21
1920,-80
1960,-40
1860,-140
2000,0
2000,0
1980,-20
2000,0
2040,40
2020,20
2000,0
2020,20
2000,0
2000,0
2020,20
1380,-620
2000,0
1960,-40
1980,-20
2000,0
2020,20
2020,20
2000,0
1960,-40
1920,-80
1920,-80
1920,-80
1960,-40
2000,-1
2000,-1
2000,-1
2020,19
2020,19
2020,18
2020,18
2000,-2
2000,-2
1960,-42
1980,-23
2000,-3
1960,-43
2020,17
2000,-3
2020,16
2020,16
2040,36
2020,16
2000,-4
2040,35
2080,75
2060,55
2040,35
2020,15
2000,-6
2000,-6
2020,14
2040,34
2040,34
2020,13
2000,-7
1780,-227
1840,-167
1880,-127
2000,-8
2040,32
2020,12
2000,-8
1680,-328
2020,11
2040,31
2040,31
2040,31
2080,71
2000,-10
2040,30
2000,-10
1720,-290
1880,-131
2000,-11
2040,28
2020,8
2000,-12
2040,27
2040,27
2020,6
2040,26
2040,26
2020,5
2040,25
2080,64
2080,64
2040,24
2040,23
2060,43
2040,22
2020,2
2000,-18
1760,-259
1840,-179
1920,-100
1840,-180
1940,-80
