e,z,n
57,0,1
64,0,1
64,0,1
66,1,1
462,0,1
86,0,2
114,0,2
117,0,2
118,0,2
119,0,2
126,0,2
231,1,2
261,1,2
211,1,3
216,1,3
218,0,3
648,1,3
143,0,4
144,2,4
210,1,4
244,0,4
530,3,6
796,2,6
1622,4,6
561,2,7
762,0,7
1222,1,7
513,4,8
532,0,8
936,1,8
503,1,9
564,0,9
572,2,9
583,0,9
722,0,9
771,2,9
1873,4,9
532,0,10
584,0,10
672,2,10
722,1,10
904,1,11
1236,0,11
950,0,12
1405,1,12
776,3,13
1013,0,13
739,0,14
1770,1,14
821,0,15
1115,2,15
1164,3,15
1164,0,15
1303,0,16
1774,3,16
3585,1,16
1193,1,17
1213,1,17
1232,1,17
1517,4,17
1520,3,17
1862,3,17
1888,1,17
1247,0,18
1381,2,18
1643,2,18
1660,4,18
1827,4,19
1486,3,20
1593,2,20
2265,4,20
1524,1,21
1759,3,21
1309,0,22
1529,4,24
1677,1,24
1654,2,25
1785,3,25
1979,4,25
1767,4,26
2465,2,26
1750,2,27
2458,4,27
2383,2,28
2717,3,28
2282,0,32
2115,0,33
2852,2,33
2856,5,33
3174,5,33
2369,1,35
2557,1,35
3859,3,35
2641,1,37
2741,1,38
3055,3,38
3513,1,38
2728,2,40
3354,6,40
3814,0,40
4014,2,41
2612,2,42
2815,1,43
4294,2,43
3450,8,44
3628,6,45
4219,1,45
3932,6,47
4082,4,47
4203,1,48
4022,3,51
4636,5,51
5571,2,56
6436,4,57
5344,3,60
4445,4,61
4705,5,61
5039,2,61
6043,6,68
5121,8,69
11260,5,69
5789,0,73
6044,6,74
5569,8,75
6130,7,75
6249,3,79
7002,3,91
7851,9,99
9573,7,104
12050,18,133
12131,17,152
