Row,Group,Lugs
1,1,5
2,1,10
3,1,11
4,1,11.25
5,2,11
6,2,11
7,2,9
8,2,9
9,3,9
10,3,9
11,3,6
12,3,7
13,4,5
14,4,7
15,4,10
16,4,13
17,5,5.5
18,5,10.5
19,5,9
20,5,6
21,6,8
22,6,15
23,6,13
24,6,14
25,7,15
26,7,14.5
27,7,14
28,7,14
29,8,15
30,8,16
31,8,13
32,8,12
33,9,9
34,9,11.5
35,9,9.5
36,9,12
37,10,13
38,10,13.5
39,10,15
40,10,15.5
41,11,14
42,11,14
43,11,10
44,11,13
45,12,11
46,12,8.5
47,12,7.5
48,12,6
49,13,5
50,13,4
51,13,3
52,13,2
1,1,5
2,1,5
3,1,11
4,1,10
5,2,7
6,2,13
7,2,10.5
8,2,10
9,3,13
10,3,12
11,3,10
12,3,9
13,4,11
14,4,7
15,4,8
16,4,10.5
17,5,10
18,5,11.5
19,5,9
20,5,11
21,6,13
22,6,15
23,6,14
24,6,17
25,7,16
26,7,14
27,7,11
28,7,16
29,8,12
30,8,11.5
31,8,11
32,8,13
33,9,12
34,9,12
35,9,13
36,9,9
37,10,15
38,10,12
39,10,7
40,10,7
41,11,10
42,11,5
43,11,3.5
44,11,5
45,12,14
46,12,13
47,12,19
48,12,11.5
49,13,10
50,13,6
51,13,6.5
52,13,5
1,1,2
2,1,5
3,1,4
4,1,5
5,2,4
6,2,3
7,2,2.5
8,2,2
9,3,2
10,3,2
11,3,3
12,3,2.5
13,4,2
14,4,3
15,4,3
16,4,3
17,5,4
18,5,5
19,5,6
20,5,8
21,6,7
22,6,11
23,6,9
24,6,10
25,7,10
26,7,11
27,7,14
28,7,15
29,8,12
30,8,10
31,8,12
32,8,13
33,9,9.5
34,9,8
35,9,8
36,9,9
37,10,11
38,10,13
39,10,16
40,10,18
41,11,12
42,11,15
43,11,14
44,11,20
45,12,14
46,12,7
47,12,7.5
48,12,4
49,13,5
50,13,3
51,13,1.5
52,13,0.5
1,1,4.5
2,1,9
3,1,9
4,1,9.5
5,2,10
6,2,7
7,2,7.5
8,2,7
9,3,8
10,3,7
11,3,7
12,3,5
13,4,5
14,4,4
15,4,3
16,4,4
17,5,4
18,5,4
19,5,4.5
20,5,3.5
21,6,6
22,6,5
23,6,6
24,6,6
25,7,5
26,7,7
27,7,6
28,7,5
29,8,3
30,8,5
31,8,4
32,8,4.5
33,9,4
34,9,4
35,9,4
36,9,4
37,10,6
38,10,6
39,10,4
40,10,3
41,11,3.5
42,11,8
43,11,6
44,11,4.5
45,12,6
46,12,4.5
47,12,4
48,12,3
49,13,3
50,13,2
51,13,1
52,13,0.5
1,1,1.5
2,1,4
3,1,6
4,1,7
5,2,7
6,2,10
7,2,7
8,2,7
9,3,10
10,3,7
11,3,6
12,3,7
13,4,9
14,4,9
15,4,8
16,4,12
17,5,13
18,5,15
19,5,17
20,5,20
21,6,16
22,6,17
23,6,15
24,6,12
25,7,13
26,7,13
27,7,18
28,7,20
29,8,16
30,8,16
31,8,16
32,8,16
33,9,15
34,9,11
35,9,11
36,9,11
37,10,8.5
38,10,10
39,10,6
40,10,10
41,11,8
42,11,8
43,11,6
44,11,8
45,12,6
46,12,6
47,12,7
48,12,3
49,13,3
50,13,2
51,13,2
52,13,2
1,1,1.5
2,1,4
3,1,6
4,1,5
5,2,6
6,2,5
7,2,5
8,2,6
9,3,8
10,3,5
11,3,8
12,3,7
13,4,10
14,4,9
15,4,9
16,4,9
17,5,7
18,5,7
19,5,7
20,5,7
21,6,8
22,6,9
23,6,7
24,6,8
25,7,8
26,7,8
27,7,8
28,7,8
29,8,7
30,8,7
31,8,10
32,8,8
33,9,7
34,9,7
35,9,11
36,9,11
37,10,12
38,10,10
39,10,11
40,10,11
41,11,11
42,11,8.5
43,11,10
44,11,9
45,12,11
46,12,7
47,12,5
48,12,3
49,13,3
50,13,1.5
51,13,1
52,13,0
1,1,1
2,1,3
3,1,3
4,1,3
5,2,5
6,2,3.5
7,2,3
8,2,4.5
9,3,5
10,3,5
11,3,6
12,3,5
13,4,4
14,4,6
15,4,5
16,4,6.5
17,5,4
18,5,6
19,5,3
20,5,6
21,6,5
22,6,8
23,6,4.5
24,6,4
25,7,4
26,7,6.5
27,7,4
28,7,5
29,8,3
30,8,5.5
31,8,3
32,8,2
33,9,2
34,9,2
35,9,2
36,9,3
37,10,2
38,10,2
39,10,2
40,10,2
41,11,2
42,11,1.5
43,11,1.5
44,11,1.5
45,12,1
46,12,1
47,12,1
48,12,1
49,13,0.5
50,13,0.5
51,13,0
52,13,0
1,1,5
2,1,8
3,1,11
4,1,9
5,2,9.5
6,2,10
7,2,12
8,2,10
9,3,11.5
10,3,10
11,3,11
12,3,10
13,4,10.5
14,4,10
15,4,11
16,4,11
17,5,11.5
18,5,12
19,5,12.5
20,5,13
21,6,11
22,6,11
23,6,11
24,6,13
25,7,11
26,7,13
27,7,12
28,7,14
29,8,10
30,8,13
31,8,8
