TRACT,LON,LAT,MEDV,CMEDV,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
2011,-70.955000,42.255000,24.0,24.0,0.00632,18.0,2.31,0,538,6575,65.2,4.0900,1,296,15.3,396.90,4.98
2021,-70.950000,42.287500,21.6,21.6,0.02731,0.0,7.07,0,469,6421,78.9,4.9671,2,242,17.8,396.90,9.14
2022,-70.936000,42.283000,34.7,34.7,0.02729,0.0,7.07,0,469,7185,61.1,4.9671,2,242,17.8,392.83,4.03
2031,-70.928000,42.293000,33.4,33.4,0.03237,0.0,2.18,0,458,6998,45.8,6.0622,3,222,18.7,394.63,2.94
2032,-70.922000,42.298000,36.2,36.2,0.06905,0.0,2.18,0,458,7147,54.2,6.0622,3,222,18.7,396.90,5.33
2033,-70.916500,42.304000,28.7,28.7,0.02985,0.0,2.18,0,458,6430,58.7,6.0622,3,222,18.7,394.12,5.21
2041,-70.936000,42.297000,22.9,22.9,0.08829,12.5,7.87,0,524,6012,66.6,5.5605,5,311,15.2,395.60,12.43
2042,-70.937500,42.310000,27.1,22.1,0.14455,12.5,7.87,0,524,6172,96.1,5.9505,5,311,15.2,396.90,19.15
2043,-70.933000,42.312000,16.5,16.5,0.21124,12.5,7.87,0,524,5631,100.0,6.0821,5,311,15.2,386.63,29.93
2044,-70.929000,42.316000,18.9,18.9,0.17004,12.5,7.87,0,524,6004,85.9,6.5921,5,311,15.2,386.71,17.10
2045,-70.935000,42.316000,15.0,15.0,0.22489,12.5,7.87,0,524,6377,94.3,6.3467,5,311,15.2,392.52,20.45
2046,-70.944000,42.317000,18.9,18.9,0.11747,12.5,7.87,0,524,6009,82.9,6.2267,5,311,15.2,396.90,13.27
2047,-70.951000,42.306000,21.7,21.7,0.09378,12.5,7.87,0,524,5889,39.0,5.4509,5,311,15.2,390.50,15.71
2051,-70.964500,42.292000,20.4,20.4,0.62976,0.0,8.14,0,538,5949,61.8,4.7075,4,307,21.0,396.90,8.26
2052,-70.972000,42.287000,18.2,18.2,0.63796,0.0,8.14,0,538,6096,84.5,4.4619,4,307,21.0,380.02,10.26
2053,-70.976500,42.294000,19.9,19.9,0.62739,0.0,8.14,0,538,5834,56.5,4.4986,4,307,21.0,395.62,8.47
2054,-70.987000,42.298500,23.1,23.1,1.05393,0.0,8.14,0,538,5935,29.3,4.4986,4,307,21.0,386.85,6.58
2055,-70.978000,42.285000,17.5,17.5,0.78420,0.0,8.14,0,538,5990,81.7,4.2579,4,307,21.0,386.75,14.67
2056,-70.992500,42.282500,20.2,20.2,0.80271,0.0,8.14,0,538,5456,36.6,3.7965,4,307,21.0,288.99,11.69
