"Numeric Degree","TechUGCourses","TechGCourses","MgmtUGCourses","MgmtGCourses","Total Workshops","Total Conferences","TotalLangExp","Hardware Proj Mgmt Exp","Software Proj Mgmt Exp","No Of Hardware Proj Estimated","No Of Software Proj Estimated","Domain Exp","Procurement Industry Exp","ABS((TotalEstimates-TotalActual)/TotalActual)"
2,0,3,0,0,0,0,10.75,0,0,0,5,0,0,0.897020854
3,5,6,0,2,0,0,1,0,0,0,0,0,1,0.895233366
3,21,3,0,1,1,0,2,0,0,0,0,3,0,0.891261172
3,0,3,0,0,0,0,0.5,0,0,0,0,0,0,0.88877855
3,10,0,0,0,0,0,12,0,0,0,0,0,0,0.88877855
4,4,1,0,1,2,4,1.5,3,1,3,0,0,0,0.885402185
2,0,1,0,0,0,1,3.25,0,0,0,1,0,0,0.86693148
3,9,2,1,1,1,6,-8,0,2,0,6,4,1.5,0.856007944
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.85203575
3,9,0,0,1,0,0,0,0,0,0,0,0,0,0.834160874
3,26,0,1,0,11,0,18,7,4,2,4,0,0,0.828202582
2,0,20,0,0,0,1,9.5,0,2,0,10,0,0,0.820258193
3,72,12,3,0,0,0,0,2,0,0,0,0,0,0.815292949
3,27,27,5,5,0,0,12.75,0,0,0,0,1,0,0.795431976
3,0,4,0,0,0,0,7,0,5,0,2,0,0,0.779116187
4,2,2,4,1,0,0,0,1.5,0,0,0,0,0,0.776564052
4,6,8,6,3,6,11,11.5,2.25,2.25,4,5,2,2,0.765640516
3,25,3,0,0,0,0,7,0,1,0,1,0,0,0.757696127
3,2,0,2,0,3.5,0,1,5,0,0,0,5,0,0.752730884
3,2,0,0,0,13,22,13,0,4,0,10,0,0,0.72591857
4,3,14,0,0,0,0,8,0,0,0,0,0,2,0.724428997
3,15,0,11,6,17,9,4.25,6.75,5.5,3,7,7,7,0.721946375
3,27,3,0,0,2,2,2.75,0,0,0,0,0,0,0.709036743
4,7,13,3,5,0,0,9,5,6,5,4,4,4,0.695134062
3,20,8,0,3,7,10,1.5,0,0,0,0,0,0,0.692154916
3,17,2,5,0,0,0,31.75,0.25,0.25,1,1,0,0,0.15590864
3,0,26,0,0,2,4,8.75,0,0,0,3,0,0,0.148957299
3,7,0,3,0,5,5,16,0.5,4,2,10,1,0,0.145978153
3,7,0,2,1,14,23,20,0,9,0,6,3,2,0.14101291
5,1,0,0,0,1,0,27,5,5,5,10,1,0.5,0.139026812
3,15,8,12,8,0,0,1,0,0,0,0,0,0,0.11817279
3,10,0,0,0,7,0,7.25,0,1.75,0,2,0,0,0.117179742
4,1,2,1,0,1,0,4,0,0.5,0,1,0,0,0.100297915
4,0,2,0,2,2,23,13.5,2,6,5,20,2,2,0.090367428
3,17,4,1,2,0,0,27.5,0,0,0,1,0,0,0.076464747
3,0,5,0,3,0,1,1.25,0,0,0,0,0,0,0.070506455
3,13,0,0,0,8,0,17,5,2,5,2,0,0,0.056603774
3,19,5,0,0,0,0,0.25,0,0,0,0,0,0,0.046673287
3,5,0,0,4,2,0,4.25,1,0,9,6,2,4,0.046673287
3,49,0,1,0,1,1,1.25,0,0,0,0,0,0,0.007944389
3,6,0,5,0,85,0,0,5,10,5,20,1,0,0.007944389
3,0,9,0,3,0,0,10.5,0,0,0,0,0,0,0.016881827
3,21,30,6,6,0,5,6,0,2,0,8,1,0,0.0367428
4,0,1,0,0,1,1,10.5,0,3.25,0,5,0.5,0,0.040714995
4,0,1,0,0,0,1,7,0,0,0,0,0,1,0.048659384
3,0,0,1,1,2,3,3,0,0,0,2,0,0,0.049652433
3,47,11,2,1,2,1,5.25,0,0,0,0,0,0,0.054617676
3,13,0,0,0,0,0,0,0,0,0,0,0,0.5,0.088381331
3,10,3,1,1,2,0,10,0,0,0,5,0,0,0.092353525
4,0,1,2,3,1,0,11,0,4,0,3,1,0,0.112214499
2,0,0,6,0,12,5,0,25,0,12,0,2,0,2.048659384
3,44,11,2,1,3,3,1.5,0,0,0,0,0,0,2.286991063
3,16,0,4,0,7,0,0,15,15,25,25,0.75,12,2.298907646
4,36,6,12,12,19,21,40,7,10,20,25,3,5,2.371400199
3,25,9,0,1,0,0,10,0,3.5,0,6,0,0,2.610724926
4,0,3,0,1,0,0,6.25,0,1.25,0,3,0,0,2.747765641
3,2,2,0,1,0,0,7,0,2,0,9,0,0,2.793445879
3,1,6,0,1,0,0,2.5,0,0,0,0,0,0,2.889771599
3,12,2,0,0,0,0,3.5,0,0,0,0,0,0,2.932472691
3,-2,0,0,0,2,0,4.5,0,0,0,3,0,0,2.947368421
3,32,0,4,0,2,0,2.75,0,0,0,3,0,0.5,2.972194638
4,17,4,0,0,0,4,4,0,0,0,12,0,0,3.17775571
3,2,3,0,1,1,1,2,0,0,0,0,0,1,3.289970209
3,11,4,0,2,3,0,17,0,0.25,0,2,0,0,3.791459782
3,25,5,0,1,0,0,0,0,0,0,0,0,0,4.863952334
3,41,14,1,2,4,0,12,0,1,0,1,0,0,5.266137041
3,3,0,2,0,2,0,5,0,1,0,3,1,0,5.444885799
4,0,20,0,3,0,10,19,1,0,4,1,0,0,5.623634558
3,4,10,0,3,5,8,14.5,0,1.25,0,3,0.5,0,5.936444886
4,0,0,0,1,0,3,5,0,5,0,10,2,0,6.273088381
4,3,2,3,2,2,0,2,0,3,0,4,2,2,6.579940417
3,17,6,0,2,1,0,11,0,0.25,0,0,0,0,6.69612711
3,12,2,0,0,0,0,2,0,0,0,0,0,0,7.440913605
3,0,1,0,1,0,2,0,1,1,1,6,6,7,9.084409136
3,8,5,5,3,5,0,0,15,0,5,0,2,0,9.765640516
