V2,V3,V4,V5,V6,V1
8,304,150,3433,12,16
8,390,190,3850,8.5,15
6,199,97,2774,15.5,18
6,199,90,2648,15,21
6,232,100,2634,13,19
6,232,100,3288,15.5,18
6,258,110,2962,13.5,18
8,304,150,3672,11.5,17
8,304,150,3892,12.5,15
8,304,150,3672,11.5,14
8,360,175,3821,11,13
6,232,100,2945,16,18
6,232,100,2789,15,18
6,232,100,2901,16,19
6,258,110,3632,18,16
8,304,150,4257,15.5,14
6,258,110,3730,19,15
6,232,100,2914,16,20
6,232,90,3211,17,19
8,304,120,3962,13.9,15.5
6,232,90,3085,17.6,22.5
6,258,95,3193,17.8,17.5
6,232,90,3210,17.2,19.4
6,258,120,3410,15.1,18.1
6,232,90,3265,18.2,20.2
4,121,80,2670,15,27.4
4,151,90,3003,20.1,24.3
4,151,NA,3035,20.5,23
8,350,165,3693,11.5,15
8,455,225,3086,10,14
8,350,155,4502,13.5,13
8,350,175,4100,13,13
8,455,225,4951,11,12
8,350,150,4699,14.5,13
6,231,110,3907,21,17
6,231,110,3039,15,21
4,111,80,2155,14.8,30
6,231,105,3425,16.9,20.5
6,231,105,3380,15.8,20.6
6,231,165,3445,13.4,17.7
8,350,155,4360,14.9,16.9
4,151,90,2670,16,28.4
4,151,84,2635,16.4,26.6
6,231,110,3415,15.8,22.4
6,181,110,2945,16.4,25
8,350,180,4380,12.1,16.5
8,350,125,3900,17.4,23
4,140,92,2572,14.9,25
6,250,105,3897,18.5,16
8,307,130,3504,12,18
8,454,220,4354,9,14
8,400,150,3761,9.5,15
4,140,90,2264,15.5,28
6,250,100,3329,15.5,17
8,350,165,4209,12,14
4,140,72,2408,19,22
4,140,90,2408,19.5,20
8,350,165,4274,12,13
8,307,130,4098,14,13
8,350,145,3988,13,13
8,400,150,4464,12,13
6,250,100,3278,18,16
8,400,150,4997,14,11
4,140,72,2401,19.5,21
8,350,145,4082,13,15
6,250,100,3336,17,15
4,140,75,2542,17,25
6,250,100,3781,17,16
6,250,105,3459,16,18
8,350,145,4440,14,15
8,262,110,3221,13.5,20
8,305,140,4215,13,17.5
6,250,105,3353,14.5,22
4,85,52,2035,22.2,29
4,98,60,2164,22.1,24.5
8,305,145,3880,12.5,17.5
6,250,110,3520,16.4,17.5
8,350,170,4165,11.4,15.5
4,98,63,2051,17,30.5
6,200,95,3155,18.2,20.5
8,305,145,3425,13.2,19.2
4,98,68,2155,16.5,30
8,305,130,3840,15.4,17
8,267,125,3605,15,19.2
6,173,115,2595,11.3,28.8
4,98,70,2120,15.5,32.1
4,151,90,2678,16.5,28
6,173,110,2725,12.6,23.5
4,112,88,2605,19.6,28
4,112,88,2640,18.6,27
4,112,88,2395,18,34
4,151,90,2950,17.3,27
8,307,200,4376,15,10
8,350,145,4055,12,13
4,119,82,2720,19.4,31
8,400,190,4422,12.5,13
8,440,215,4735,11,13
8,400,190,4325,12.2,15.5
8,360,150,3940,13,18.5
6,225,85,3465,16.6,17.6
4,156,92,2585,14.5,26
8,383,170,3563,10,15
8,318,210,4382,13.5,11
8,383,180,4955,11.5,12
4,97.5,80,2126,17,25
4,98,80,2164,15,28
8,318,150,3777,12.5,15
8,318,150,3399,11,15
8,318,150,4457,13.5,14
4,90,75,2125,14.5,28
4,98,79,2255,17.7,26
8,318,150,4190,13,16
6,225,100,3651,17.7,20
8,318,150,3755,14,13
8,318,145,4140,13.7,15.5
4,98,83,2075,15.9,33.5
8,318,140,3735,13.2,19.4
6,225,110,3620,18.7,18.6
8,318,140,4080,13.7,17.5
4,105,75,2230,14.5,30.9
6,225,110,3360,16.6,20.6
8,318,135,3830,15.2,18.2
4,98,80,1915,14.4,35.7
6,225,90,3381,18.7,19.1
4,156,105,2800,14.4,27.9
4,156,92,2620,14.4,25.8
4,135,84,2525,16,29
4,135,84,2370,13,36
4,135,84,2295,11.6,32
8,302,140,3449,10.5,17
8,429,198,4341,10,15
6,200,85,2587,16,21
8,360,215,4615,14,10
4,98,NA,2046,19,25
6,250,88,3302,15.5,19
8,351,153,4154,13.5,14
8,400,170,4746,12,13
6,250,88,3139,14.5,18
4,122,86,2226,16.5,21
8,351,153,4129,13,14
8,302,140,4294,16,13
4,122,86,2395,16,22
8,302,137,4042,14.5,14
8,351,158,4363,13,13
6,250,88,3021,16.5,18
8,400,167,4906,12.5,12
4,122,85,2310,18.5,19
6,200,NA,2875,17,21
4,122,80,2451,16.5,26
8,302,140,4141,14,16
8,302,140,4638,16,14
6,250,72,3158,19.5,15
8,351,148,4657,13.5,14
8,302,129,3169,12,13
4,140,83,2639,17,23
6,171,97,2984,14.5,18
8,351,152,4215,12.8,14.5
6,200,81,3012,17.6,24
6,250,78,3574,21,18
4,140,72,2565,13.6,26.5
8,302,130,3870,15,13
6,250,98,3525,19,18.5
8,351,149,4335,14.5,16
4,140,89,2755,15.8,25.5
4,98,66,1800,14.4,36.1
6,200,85,2965,15.8,20.2
4,140,88,2720,15.4,25.1
8,302,139,3205,11.2,18.1
4,140,88,2890,17.3,22.3
8,302,129,3725,13.4,17.6
8,351,142,4054,14.3,15.5
4,140,88,2870,18.1,26.4
4,140,NA,2905,14.3,23.6
4,98,65,2045,16.2,34.4
4,98,65,2380,20.7,29.9
6,200,88,3060,17.1,20.2
4,140,92,2865,16.4,24
6,232,112,2835,14.7,22
4,140,86,2790,15.6,27
4,120,79,2625,18.6,28
8,304,193,4732,18.5,9
4,122,86,2220,14,23
8,429,208,4633,11,11
8,429,198,4952,11.5,12
6,155,107,2472,14,21
6,250,72,3432,21,15
8,302,130,4295,14.9,15
8,302,139,3570,12.8,20.2
6,200,85,3070,16.7,20.8
6,200,85,2990,18.2,19.8
8,351,138,3955,13.2,16.5
4,98,70,2125,17.3,36
8,350,160,4456,13.5,12
8,350,180,4499,12.5,12
8,350,180,3664,11,11
8,260,110,4060,19,17
8,260,110,3365,15.5,19.9
4,151,85,2855,17.6,23.8
8,260,90,3420,22.2,23.9
6,173,115,2700,12.9,26.8
8,350,105,3725,19,26.6
6,262,85,3015,17,38
8,318,150,3436,11,18
8,440,215,4312,8.5,14
8,340,160,3609,8,14
6,198,95,2833,15.5,22
6,225,105,3439,15.5,16
8,318,150,4096,13,14
4,91,70,1955,20.5,26
8,318,150,4135,13.5,15
8,318,150,4077,14,14
8,318,150,4237,14.5,14
6,225,105,3121,16.5,18
6,198,95,2904,16,23
8,360,170,4654,13,13
6,198,95,3102,16.5,20
6,225,105,3613,16.5,18
6,225,95,3264,16,19
8,318,150,4498,14.5,16
6,225,95,3785,19,18
6,225,100,3233,15.4,22
8,318,150,3940,13.2,13
4,122,96,2300,15.5,25.5
6,225,100,3630,17.7,19
6,225,100,3430,17.2,20.5
4,156,105,2745,16.7,23.2
4,105,70,2200,13.2,34.2
4,105,70,2150,14.9,34.5
4,135,84,2490,15.7,27.2
