transaction_date,house_age,distance_nearest_MRT_station,number_convenience_stores,latitude,longitude,house_price_unit_area
2012.9167,32.00,84.8788,10,24.98298,121.54024,37.90000
2012.9167,19.50,306.5947,9,24.98034,121.53951,42.20000
2013.5833,13.30,561.9845,5,24.98746,121.54391,47.30000
2013.5000,13.30,561.9845,5,24.98746,121.54391,54.80000
2012.8333,5.00,390.5684,5,24.97937,121.54245,43.10000
2012.6667,7.10,2175.0300,3,24.96305,121.51254,32.10000
2012.6667,34.50,623.4731,7,24.97933,121.53642,40.30000
2013.4167,20.30,287.6025,6,24.98042,121.54228,46.70000
2013.5000,31.70,5512.0380,1,24.95095,121.48458,18.80000
2013.4167,17.90,1783.1800,3,24.96731,121.51486,22.10000
2013.0833,34.80,405.2134,1,24.97349,121.53372,41.40000
2013.3333,6.30,90.4561,9,24.97433,121.54310,58.10000
2012.9167,13.00,492.2313,5,24.96515,121.53737,39.30000
2012.6667,20.40,2469.6450,4,24.96108,121.51046,23.80000
2013.5000,13.20,1164.8380,4,24.99156,121.53406,34.30000
2013.5833,35.70,579.2083,2,24.98240,121.54619,50.50000
2013.2500,0.00,292.9978,6,24.97744,121.54458,70.10000
2012.7500,17.70,350.8515,1,24.97544,121.53119,37.40000
2013.4167,16.90,368.1363,8,24.96750,121.54451,42.30000
2012.6667,1.50,23.3828,7,24.96772,121.54102,47.70000
2013.4167,4.50,2275.8770,3,24.96314,121.51151,29.30000
2013.4167,10.50,279.1726,7,24.97528,121.54541,51.60000
2012.9167,14.70,1360.1390,1,24.95204,121.54842,24.60000
2013.0833,10.10,279.1726,7,24.97528,121.54541,47.90000
2013.0000,39.60,480.6977,4,24.97353,121.53885,38.80000
2013.0833,29.30,1487.8680,2,24.97542,121.51726,27.00000
2012.6667,3.10,383.8624,5,24.98085,121.54391,56.20000
2013.2500,10.40,276.4490,5,24.95593,121.53913,33.60000
2013.5000,19.20,557.4780,4,24.97419,121.53797,47.00000
2013.0833,7.10,451.2438,5,24.97563,121.54694,57.10000
2013.5000,25.90,4519.6900,0,24.94826,121.49587,22.10000
2012.7500,29.60,769.4034,7,24.98281,121.53408,25.00000
2012.7500,37.90,488.5727,1,24.97349,121.53451,34.20000
2013.2500,16.50,323.6550,6,24.97841,121.54281,49.30000
2012.7500,15.40,205.3670,7,24.98419,121.54243,55.10000
2013.5000,13.90,4079.4180,0,25.01459,121.51816,27.30000
2012.9167,14.70,1935.0090,2,24.96386,121.51458,22.90000
2013.1667,12.00,1360.1390,1,24.95204,121.54842,25.30000
2012.6667,3.10,577.9615,6,24.97201,121.54722,47.70000
2013.1667,16.20,289.3248,5,24.98203,121.54348,46.20000
2013.0000,13.60,4082.0150,0,24.94155,121.50381,15.90000
2013.5000,16.80,4066.5870,0,24.94297,121.50342,18.20000
2013.4167,36.10,519.4617,5,24.96305,121.53758,34.70000
2012.7500,34.40,512.7871,6,24.98748,121.54301,34.10000
2013.5833,2.70,533.4762,4,24.97445,121.54765,53.90000
2013.0833,36.60,488.8193,8,24.97015,121.54494,38.30000
2013.4167,21.70,463.9623,9,24.97030,121.54458,42.00000
2013.5833,35.90,640.7391,3,24.97563,121.53715,61.50000
2013.4167,24.20,4605.7490,0,24.94684,121.49578,13.40000
2012.6667,29.40,4510.3590,1,24.94925,121.49542,13.20000
2013.4167,21.70,512.5487,4,24.97400,121.53842,44.20000
2013.0833,31.30,1758.4060,1,24.95402,121.55282,20.70000
2013.5833,32.10,1438.5790,3,24.97419,121.51750,27.00000
2013.0833,13.30,492.2313,5,24.96515,121.53737,38.90000
2013.0833,16.10,289.3248,5,24.98203,121.54348,51.70000
2012.8333,31.70,1160.6320,0,24.94968,121.53009,13.70000
2013.4167,33.60,371.2495,8,24.97254,121.54059,41.90000
2012.9167,3.50,56.4743,7,24.95744,121.53711,53.50000
2013.5000,30.30,4510.3590,1,24.94925,121.49542,22.60000
2013.0833,13.30,336.0532,5,24.95776,121.53438,42.40000
2013.4167,11.00,1931.2070,2,24.96365,121.51471,21.30000
2013.5000,5.30,259.6607,6,24.97585,121.54516,63.20000
2012.9167,17.20,2175.8770,3,24.96303,121.51254,27.70000
2013.5833,2.60,533.4762,4,24.97445,121.54765,55.00000
2013.3333,17.50,995.7554,0,24.96305,121.54915,25.30000
2013.4167,40.10,123.7429,8,24.97635,121.54329,44.30000
2013.0000,1.00,193.5845,6,24.96571,121.54089,50.70000
2013.5000,8.50,104.8101,5,24.96674,121.54067,56.80000
2013.4167,30.40,464.2230,6,24.97964,121.53805,36.20000
2012.8333,12.50,561.9845,5,24.98746,121.54391,42.00000
2013.5833,6.60,90.4561,9,24.97433,121.54310,59.00000
