id,errors-question1,errors-question2,errors-question3,errors-question4,errors-question5,errors-question6,errors-question7,errors-question8,errors-question9,grade
20170113185,1,1,1,1,0,0,1,2,0,9.2
20170158300,0,0,0,1,0,0,1,1,1,8.5
20170058978,0,0,0,1,0,0,0,1,2,9.4
20170108962,0,0,0,0,0,0,0,0,0,10.0
20170112811,0,0,0,0,0,0,1,1,0,7.9
20180164446,0,0,1,0,0,1,0,2,0,7.8
20170143513,2,1,1,2,999,999,0,999,3,4.1
20170113891,0,0,1,0,0,1,0,1,0,8.5
20170164809,0,1,0,2,1,1,1,0,0,7.1
20170129579,0,0,0,0,0,0,0,0,0,10.0
20170024559,0,1,0,0,0,0,0,2,999,8.4
20170130337,0,1,2,0,0,0,0,1,0,8.1
20170133007,2,1,999,2,999,999,0,1,3,1.5
20180013218,1,1,0,1,0,1,1,2,3,6.0
20170111663,1,1,0,1,0,0,1,1,0,9.5
20170111289,2,1,1,2,1,1,2,2,3,3.0
20170152334,1,1,0,2,1,1,1,2,1,3.3
20170157368,0,0,0,0,0,0,0,0,0,10.0
20170111206,2,1,1,999,999,999,2,2,3,1.9
20170110245,0,0,0,0,0,0,0,0,0,10.0
20170015658,0,0,0,0,0,0,0,0,0,10.0
20170114066,1,2,0,1,1,1,2,999,999,2.1
20180059754,2,2,1,2,1,999,999,999,999,0.9
20170114039,1,2,0,1,0,1,1,2,3,4.0
20170155130,1,1,1,1,1,1,2,0,1,7.9
20170195396,0,1,0,0,0,1,0,1,0,9.1
20170144931,0,2,1,1,0,1,0,2,2,4.2
20170113766,0,0,0,0,0,0,0,2,0,9.1
2016094066,1,2,0,2,1,1,1,2,3,4.0
20170061991,0,1,1,2,1,1,2,2,3,3.6
20170110906,0,0,0,1,0,0,0,1,0,9.1
20170073517,0,2,2,1,0,0,0,2,2,6.9
20160157990,1,2,2,1,1,1,1,2,3,3.1
20170109549,0,0,1,2,0,1,0,1,3,6.7
20170059053,0,1,0,1,0,1,1,2,2,7.1
11500456,1,2,1,2,1,1,1,999,999,4.3
11505295,0,1,0,2,1,1,2,2,3,3.8
20170109941,0,1,0,0,0,0,0,2,3,7.4
20180065054,0,2,1,2,0,0,2,999,999,3.7
20160155708,2,2,1,2,1,999,2,999,999,2.0
11017241,2,2,2,2,1,1,2,999,999,0.0
20170195538,2,2,0,999,999,999,0,999,999,4.3
11507006,2,2,2,2,0,1,2,999,3,0.8
11514190,0,2,1,1,0,0,0,999,999,6.2
20170078596,0,1,0,0,0,1,1,999,3,4.0
20170062578,0,2,0,2,1,999,999,999,999,1.6
11508019,2,2,2,2,999,999,999,999,999,0.0
20170009712,0,0,0,2,1,1,0,2,3,4.9
20170160793,2,2,1,0,1,1,2,2,3,2.4
20180161810,2,2,1,1,1,999,1,2,1,3.8
20170108078,2,2,2,2,1,1,2,2,3,0.5
2016088480,0,1,1,2,1,999,1,2,1,5.4
20170010910,2,2,1,2,1,1,2,999,3,0.4
20160125825,2,2,999,2,1,999,2,999,999,0.0
