id,errors-question1,errors-question2,errors-question3,errors-question4,errors-question5,errors-question6,errors-question7,errors-question8,errors-question9,errors-question10,errors-question11,errors-question12,grade
20180071150,0,0,0,1,0,1,0,0,0,0,0,0,9.9
20180124674,0,0,0,3,999,999,3,2,999,2,2,999,2.6
2016036920,7,2,999,999,999,999,999,999,999,999,999,999,0.6
20180133717,0,2,1,999,999,999,2,2,999,999,999,999,1
20180035977,1,0,0,5,999,999,0,1,2,1,2,2,4.9
20180018671,1,1,999,2,2,1,0,2,3,3,2,2,5
20190176594,0,1,0,0,1,1,0,1,1,0,0,0,9.1
20180021597,1,2,1,2,2,4,3,1,999,999,999,999,3.6
11500456,1,0,0,6,1,4,999,999,999,999,999,999,3.4
20180024991,0,1,0,2,1,1,1,0,0,0,0,1,8.9
20180036277,2,2,1,999,999,999,1,3,1,0,2,999,3.9
20180056171,3,2,1,999,999,999,999,999,999,999,999,999,1.3
20180030470,1,0,0,999,999,999,999,999,999,999,999,999,2.4
20180036132,1,2,1,999,999,999,3,3,3,4,1,1,2.7
20180037176,4,4,1,999,999,999,2,1,1,0,0,1,2.7
20180039377,0,1,0,0,1,2,0,0,0,0,0,1,9.6
20180026190,0,1,0,0,1,1,1,1,0,2,0,0,9.1
20170026858,0,1,0,2,2,2,3,1,3,1,1,1,5.1
20180112931,1,3,0,3,2,4,3,1,3,2,2,2,3.3
20180132219,0,1,1,1,1,1,1,2,3,2,1,999,3.6
20180035832,0,1,0,2,0,2,0,0,1,0,0,1,8.3
20170106171,7,4,0,999,999,999,999,999,999,999,999,999,0.7
20180131516,0,0,0,1,1,1,0,1,2,1,3,2,5.9
20180038754,1,1,0,5,3,999,4,999,0,2,2,999,3
20180089379,0,4,0,3,2,3,3,3,0,1,0,1,4.4
20180022235,999,999,1,999,999,999,2,999,999,999,999,999,1
20170060555,3,3,1,999,999,999,3,2,3,1,2,1,5.1
20170166812,2,2,1,999,2,999,3,2,4,999,999,999,1.1
20180068753,1,3,0,999,999,999,4,4,3,3,3,3,1.7
20170061991,0,2,999,3,2,999,5,4,4,999,999,999,2.1
20170129523,0,0,0,2,1,999,2,0,1,0,0,0,7.6
20170173791,1,0,0,3,1,3,1,0,3,999,1,999,6.3
20180043852,0,0,0,2,1,2,2,1,1,1,1,1,6.9
20190074093,0,0,0,2,0,2,3,1,1,1,1,999,5.6
20160157990,2,2,1,4,2,2,3,3,5,4,4,999,1.9
20180104653,0,2,0,999,999,999,999,999,4,999,4,999,1.9
20170132538,1,1,1,999,999,999,999,999,999,999,999,999,1.4
20170156164,999,999,0,999,999,999,3,1,2,0,0,0,4.6
20170157822,0,1,1,3,2,3,3,4,2,1,0,0,5.9
20170024399,1,0,0,3,1,2,5,4,3,2,2,2,5.6
20170041157,2,999,999,999,999,999,4,3,3,3,1,999,1.3
20180034657,0,2,0,3,2,3,5,4,3,1,1,999,3.6
20160131081,1,1,0,999,999,999,3,999,999,999,999,999,3
20170161173,0,0,0,2,1,3,3,0,4,999,999,999,5.6
20160155708,1,2,1,5,999,999,5,5,3,999,999,999,1.9
11410085,1,2,1,999,999,999,5,3,999,999,999,999,2.9
20180098000,0,1,1,999,999,999,1,4,999,999,999,999,2.6
20170111583,1,3,1,1,1,3,3,2,2,2,2,2,6.1
20170200825,0,1,0,2,1,999,4,1,4,4,5,5,4.9
20180064979,1,0,0,2,999,999,1,1,0,0,2,0,7.1
20180034817,2,0,0,2,999,999,2,0,4,4,4,4,5.1
20170008072,5,2,1,5,3,999,999,999,3,999,999,999,1.6
20170032470,1,0,2,7,999,999,999,999,5,1,1,3,1.9
20180039770,1,1,0,2,2,2,4,1,1,0,0,0,8.1
11316792,1,1,0,4,999,999,5,999,999,999,999,999,2.9
2016091921,0,0,0,2,1,2,4,3,999,999,999,999,5.9
20170012816,1,1,0,2,1,4,999,999,1,999,999,999,3.9
20180037917,1,0,0,0,2,2,999,999,999,999,999,999,4.9
20180102238,0,0,1,2,0,2,999,999,999,999,999,999,3.6
20170168970,3,3,1,5,6,999,999,999,3,4,3,4,2
20180035430,0,0,0,999,999,999,1,0,3,3,999,999,5.4
20170006210,0,1,0,999,999,999,999,999,999,999,999,999,1.9
