,difficulty,discrimination,mean_error
errors-question1,0.3713086247444153,0.9740390181541443,1.2903225806451613
errors-question2,0.3779377043247223,0.6325926184654236,1.4193548387096775
errors-question3,0.219020277261734,1.0631357431411743,0.5483870967741935
errors-question4,0.5236341953277588,0.5555711984634399,4.419354838709677
errors-question5,0.4619927704334259,0.5680818557739258,3.8870967741935485
errors-question6,0.5458680987358093,0.5077916979789734,3.7580645161290325
errors-question7,0.4638865888118744,0.5260292887687683,3.274193548387097
errors-question8,0.45714205503463745,0.5476442575454712,3.0
errors-question9,0.4685186445713043,0.5165095329284668,3.3225806451612905
errors-question10,0.4361138939857483,0.5579285621643066,2.9193548387096775
errors-question11,0.4443049430847168,0.8204123377799988,3.2096774193548385
errors-question12,0.5200328826904297,0.6816216707229614,3.935483870967742
