FA2,FA,IRT,dataset,M,N
0.3881303606267561,0.38495649553975986,315.1386018277629,balloon,212,101
0.38935415913756255,0.385110211834245,0.052991636262936424,balloon,212,101
0.3835862782268147,0.38507009341499554,0.07389164297755368,balloon,212,101
0.38272693534867447,0.38520049392356415,0.059753526110811125,balloon,212,101
0.3968225053211879,0.38488214869167436,0.05724846380388092,balloon,212,101
0.3835710364617342,0.3849929122812563,,balloon,212,101
0.3823642268057025,0.3850874311143453,0.28467890768280685,balloon,212,101
0.38264285232915163,0.38506348465067475,0.05225664858019827,balloon,212,101
0.38468609026819656,0.38513088545482604,0.05395602323132623,balloon,212,101
0.38227809754123654,0.38505834486777507,0.06383021531011587,balloon,212,101
0.38393661237565235,0.3850257965506112,0.3599430177816144,balloon,212,101
0.383551286761777,0.38479745019515205,0.051193332170581946,balloon,212,101
0.39641776662950423,0.3848257956926285,0.049870416380636676,balloon,212,101
0.38323580496524645,0.3851184391528953,0.4518506396100285,balloon,212,101
0.38356580846037086,0.38517203731049954,0.06552284063005931,balloon,212,101
0.38349079466793706,0.38491925274272787,,balloon,212,101
0.3820306997008919,0.3849869746004889,0.06466786927662062,balloon,212,101
0.3823252617062677,0.3851496669126829,2235.9416030403186,balloon,212,101
0.38509000001636695,0.3849435629661387,0.09593004762371994,balloon,212,101
0.38492596845713,0.3850045686946343,635.671944012501,balloon,212,101
0.3838978299982626,0.385128271001292,0.0555346888120899,balloon,212,101
0.3825712828492418,0.3851322870358498,0.05974115740313935,balloon,212,101
0.383891625472187,0.3850976325136959,0.0677250115372599,balloon,212,101
0.3839223888965396,0.385148052904698,0.12548448291767977,balloon,212,101
0.3950459162512779,0.38495572036672415,0.5510235737420422,balloon,212,101
0.38600523609208315,0.38491112955133966,,balloon,212,101
0.39158778340069667,0.38466362493269923,0.29345929977315166,balloon,212,101
0.3822589022674354,0.3852197116374392,0.15872602862278556,balloon,212,101
0.3827504520479794,0.3851911059406078,0.04601448968553182,balloon,212,101
0.3946694801064996,0.38478518895152103,0.0813019734015846,balloon,212,101
0.39658463144077494,0.38493398571995896,0.6848165645108161,balloon,212,101
0.38598320793632207,0.3851199288208107,0.04871374157148105,balloon,212,101
0.3938958465362058,0.3850051899830771,4.049891181303064,balloon,212,101
0.38391524505821634,0.3850680224282926,0.05812985500787966,balloon,212,101
0.46948323267606157,0.3847598367055346,0.12928495231289108,balloon,212,101
0.3859766880556353,0.3851278224552472,61.20971441345572,balloon,212,101
0.38259324942593786,0.3849597111907125,0.0814350250643364,balloon,212,101
0.38827953556562966,0.3849292023478117,0.04492014060812832,balloon,212,101
0.3962070776116636,0.3849726911915139,1.8192927081449521,balloon,212,101
0.38217455268396516,0.38492387652051685,0.04415910794173439,balloon,212,101
0.38600980107602667,0.3849646653957602,0.14405697543868903,balloon,212,101
0.38366675703135455,0.38513167830326267,0.24268438656336805,balloon,212,101
0.39184553619983065,0.3848675546290336,0.06336516983661394,balloon,212,101
0.3898635884769629,0.3848900012296731,0.0496582694672318,balloon,212,101
0.38237032903850465,0.3850191643297437,0.05285450024202361,balloon,212,101
0.38746964291980457,0.38509188291029245,0.06758096502048126,balloon,212,101
0.38493319034800705,0.3851692874743524,0.048792235354770556,balloon,212,101
0.38375468192627515,0.3850004507103788,,balloon,212,101
0.3894163713063781,0.38520222539060395,0.05352832939129157,balloon,212,101
0.3851193186020768,0.38511153368968565,0.08007084616949417,balloon,212,101
