FA2,FA,IRT,dataset,M,N
11.367183403919597,12.406313740751012,4.6133218764197865,errors-4,62,12
11.294069772129209,12.373255011562797,4.442860456501843,errors-4,62,12
11.658282883001503,12.38916457567031,4.312052354037654,errors-4,62,12
11.610984951620846,12.38895518540536,4.409896555621529,errors-4,62,12
11.808813633645421,12.660313253581933,4.673098007088212,errors-4,62,12
11.64843430799236,12.500958824512633,4.761553585547459,errors-4,62,12
14.53480070881324,12.383157518706462,4.536841380798698,errors-4,62,12
19.668915973009362,20.066534525753042,4.387873590133552,errors-4,62,12
11.576024223945986,12.348488635431469,4.739056649432445,errors-4,62,12
12.107485553716957,12.441062522068748,4.481780432491387,errors-4,62,12
15.02181305370766,12.817705457264644,4.563613330964202,errors-4,62,12
23.190119205719824,12.426383590404518,4.707406729707365,errors-4,62,12
14.689988003359531,12.318852756993351,4.461266368205996,errors-4,62,12
14.479227641783826,12.863599198585622,5.059366010238241,errors-4,62,12
11.424975927350427,12.28593443410023,4.829158332031899,errors-4,62,12
22.933645023453348,19.94774562663561,4.464537329414869,errors-4,62,12
14.475801026722477,12.580719593378278,,errors-4,62,12
14.646365269242542,12.261074253533515,4.750196452793417,errors-4,62,12
14.669038977664364,12.447610378873815,4.792219355057766,errors-4,62,12
14.556675566192393,12.58443029459385,4.624643179302591,errors-4,62,12
12.486498643073187,13.050495141089051,4.336697409955306,errors-4,62,12
11.623514062454717,12.570151038517091,4.43413601063324,errors-4,62,12
11.43793809959945,12.399980124177324,4.398684537843999,errors-4,62,12
14.842905234165778,13.250811001796055,4.449520633321855,errors-4,62,12
11.49999507837937,12.412707622839813,4.731510822839289,errors-4,62,12
19.92510422118906,19.938486570887914,4.726122900591715,errors-4,62,12
12.073477975534088,12.485351236533292,4.701230319160635,errors-4,62,12
14.525564376696341,12.358585344867924,4.738776524836197,errors-4,62,12
11.593499973333184,12.420688692161315,4.897228191293775,errors-4,62,12
14.849164028599958,12.378693945095229,5.311713439975634,errors-4,62,12
11.707747292131572,12.41816569856299,4.709264586798573,errors-4,62,12
15.203235906945995,12.572697918655786,4.60287976342015,errors-4,62,12
14.551747506209068,12.419672723415989,4.6480844444932465,errors-4,62,12
12.019222180077197,13.055291942082693,4.518379387505449,errors-4,62,12
11.403230329250423,12.42775999766496,4.798089420522702,errors-4,62,12
