FA2,FA,IRT,dataset,M,N
1.7510050551827,1.6183808909537742,0.7150202731386486,stats101-2,9,54
1.652479528528981,1.6134859622139266,0.6662957297425395,stats101-2,9,54
1.6940984556441716,1.6009054776493423,0.7368461311738301,stats101-2,9,54
1.685834686299092,1.591008938993217,0.6724731737974781,stats101-2,9,54
1.8447969551216898,1.6085641999771774,0.7896703490449838,stats101-2,9,54
1.5918701898102072,1.594436030231289,0.9283720113845644,stats101-2,9,54
1.7467094163117216,1.5871546810010795,0.7438165948935473,stats101-2,9,54
1.8257586046762149,1.6219578783696318,0.7628296533007578,stats101-2,9,54
1.790182828749789,1.6024369741729756,0.7115230491989102,stats101-2,9,54
1.7279393448064908,1.59811947585553,0.7430678435240992,stats101-2,9,54
1.8315096910634352,1.605053364887707,0.7317285429568072,stats101-2,9,54
1.744275053145203,1.6040689153462984,0.6965695278969459,stats101-2,9,54
1.6430492652476032,1.6183453117525872,0.7184878453108298,stats101-2,9,54
1.8945268929716066,1.6033236926608276,0.7536949119114948,stats101-2,9,54
1.6361449089046627,1.583959078847304,0.7143730067915264,stats101-2,9,54
1.7019997571022216,1.5975515874019979,0.6769927928161771,stats101-2,9,54
1.748661145118668,1.609848190981194,0.7267938585564659,stats101-2,9,54
1.6975301012509445,1.6113222836741476,0.7215883993566887,stats101-2,9,54
1.6164330272616607,1.6014420577443134,0.7406645085157921,stats101-2,9,54
1.8030269601373818,1.5821187941391077,0.6992515482101564,stats101-2,9,54
1.700790855185879,1.5846993417858417,0.7536101810804232,stats101-2,9,54
1.7258618166854904,1.628716892854762,0.7458325483691602,stats101-2,9,54
1.6998776090478245,1.584638438493803,0.7847832354582134,stats101-2,9,54
1.6633236458092324,1.6201947467518973,0.7519620294509199,stats101-2,9,54
1.738187981399506,1.602722899508125,0.7062548337738215,stats101-2,9,54
1.6756905373803272,1.5944040615670467,0.7647581578560275,stats101-2,9,54
1.7065516763138717,1.6091812402092351,0.7271998325360094,stats101-2,9,54
1.636897095978455,1.6075263310527006,0.6958523294822441,stats101-2,9,54
1.7793055997031941,1.6046047660331149,0.7568824583248663,stats101-2,9,54
1.81959561957322,1.5840921712104468,0.7655264570786505,stats101-2,9,54
2.423871679347188,1.5944220596041152,0.7683541307808994,stats101-2,9,54
1.7017689629695156,1.5934024616420703,0.7769829618621079,stats101-2,9,54
1.6640877033887305,1.601817092982627,0.7331321912032494,stats101-2,9,54
1.724756182699009,1.6011624789725865,0.7418056217154858,stats101-2,9,54
1.6528527159690758,1.6223801491861005,0.7306504013087536,stats101-2,9,54
1.7838865686726948,1.6073706970661248,0.6914917667449811,stats101-2,9,54
1.8573590021917763,1.5868967349699727,0.7971436481429897,stats101-2,9,54
2.758922322582599,1.5819295293333622,0.7223588642219405,stats101-2,9,54
2.332245716217538,1.6056805535531955,0.8055306131097659,stats101-2,9,54
1.691548444787754,1.5944512596223959,0.6813156127671645,stats101-2,9,54
1.8434018935275807,1.610267039853746,0.7523888273859316,stats101-2,9,54
1.7063310685398254,1.5879233278217044,0.7321386156503467,stats101-2,9,54
1.8222042687299576,1.5968174881617345,0.7047575816892702,stats101-2,9,54
1.6276855644561552,1.59390300962473,0.7758585374157594,stats101-2,9,54
1.67407320015309,1.6080593959274756,0.7067471140174091,stats101-2,9,54
1.8746630821218404,1.5825894944923449,0.674654390885113,stats101-2,9,54
1.6610924367546165,1.6138134874395118,0.756499466628741,stats101-2,9,54
1.6734016891846382,1.6075661766954508,0.7533191868619777,stats101-2,9,54
1.6323119197028961,1.6138917705551505,0.752185353861293,stats101-2,9,54
1.6099182675528079,1.589942556234197,0.806609865573219,stats101-2,9,54
